# z	N(z)
0.0125	105
0.0375	160
0.0625	240
0.0875	131
0.1125	220
0.1375	244
0.1625	78
0.1875	116
0.2125	186
0.2375	68
0.2625	22
0.2875	15
0.3125	50
0.3375	11
0.3625	14
0.3875	1
0.4125	5
0.4375	5
0.4625	3
0.4875	0
0.5125	0
0.5375	2
0.5625	14
0.5875	18
0.6125	27
0.6375	56
0.6625	53
0.6875	150
0.7125	173
0.7375	288
0.7625	423
0.7875	864
0.8125	1801
0.8375	2308
0.8625	2552
0.8875	1707
0.9125	2237
0.9375	3003
0.9625	2691
0.9875	2154
1.0125	1296
1.0375	548
1.0625	627
1.0875	788
1.1125	788
1.1375	1032
1.1625	440
1.1875	1013
1.2125	597
1.2375	839
1.2625	612
1.2875	697
1.3125	426
1.3375	494
1.3625	482
1.3875	662
1.4125	766
1.4375	892
1.4625	948
1.4875	797
1.5125	520
1.5375	422
1.5625	502
1.5875	513
1.6125	490
1.6375	386
1.6625	293
1.6875	237
1.7125	288
1.7375	424
1.7625	593
1.7875	631
1.8125	525
1.8375	391
1.8625	380
1.8875	259
1.9125	414
1.9375	425
1.9625	617
1.9875	650
2.0125	494
2.0375	342
2.0625	364
2.0875	218
2.1125	172
2.1375	229
2.1625	171
2.1875	165
2.2125	128
2.2375	159
2.2625	122
2.2875	193
2.3125	160
2.3375	176
2.3625	114
2.3875	79
2.4125	61
2.4375	52
2.4625	88
2.4875	42
2.5125	88
2.5375	220
2.5625	100
2.5875	57
2.6125	97
2.6375	99
2.6625	48
2.6875	51
2.7125	57
2.7375	62
2.7625	28
2.7875	44
2.8125	39
2.8375	49
2.8625	8
2.8875	11
2.9125	23
2.9375	18
2.9625	7
2.9875	3
3.0125	5
3.0375	0
3.0625	7
3.0875	7
3.1125	12
3.1375	0
3.1625	2
3.1875	0
3.2125	2
3.2375	0
3.2625	3
3.2875	1
3.3125	0
3.3375	0
3.3625	0
3.3875	0
3.4125	0
3.4375	0
3.4625	0
3.4875	0
3.5125	0
3.5375	0
3.5625	0
3.5875	0
3.6125	0
3.6375	0
3.6625	0
3.6875	0
3.7125	0
3.7375	0
3.7625	0
3.7875	0
3.8125	0
3.8375	0
3.8625	0
3.8875	0
3.9125	0
3.9375	0
3.9625	0
3.9875	0
4.0125	0
4.0375	0
4.0625	0
4.0875	0
4.1125	0
4.1375	0
4.1625	0
4.1875	0
4.2125	0
4.2375	0
4.2625	0
4.2875	0
4.3125	0
4.3375	0
4.3625	0
4.3875	0
4.4125	0
4.4375	0
4.4625	4
4.4875	0
4.5125	0
4.5375	0
4.5625	0
4.5875	0
4.6125	0
4.6375	0
4.6625	0
4.6875	0
4.7125	0
4.7375	0
4.7625	0
4.7875	0
4.8125	3
4.8375	0
4.8625	0
4.8875	0
4.9125	0
4.9375	0
4.9625	0
4.9875	9
