# r/deg		gt	Delta gt	kbin
0.0358795	0.0636257	0.0480715	0.875254	38
0.0454508	0.101144	0.0361853	0.858021	71
0.0548241	-0.0386785	0.0330405	0.846382	87
0.0644721	-0.0117324	0.0295528	0.860452	104
0.0736838	0.0188176	0.0262039	0.867547	132
0.0828101	0.00831111	0.0263528	0.863646	130
0.0919228	0.00798317	0.0271887	0.857415	126
0.100845	0.0115888	0.0242273	0.861524	156
