# z	N(z)
0.0125	45
0.0375	29
0.0625	28
0.0875	16
0.1125	27
0.1375	15
0.1625	17
0.1875	25
0.2125	20
0.2375	53
0.2625	19
0.2875	8
0.3125	21
0.3375	38
0.3625	83
0.3875	122
0.4125	190
0.4375	176
0.4625	308
0.4875	356
0.5125	491
0.5375	495
0.5625	428
0.5875	733
0.6125	1547
0.6375	1128
0.6625	2496
0.6875	2229
0.7125	2042
0.7375	2698
0.7625	2060
0.7875	2228
0.8125	3065
0.8375	3654
0.8625	3091
0.8875	1720
0.9125	2357
0.9375	3462
0.9625	2912
0.9875	2610
1.0125	1956
1.0375	890
1.0625	1023
1.0875	1427
1.1125	1542
1.1375	1163
1.1625	711
1.1875	1221
1.2125	607
1.2375	622
1.2625	373
1.2875	265
1.3125	333
1.3375	367
1.3625	374
1.3875	388
1.4125	445
1.4375	501
1.4625	542
1.4875	446
1.5125	256
1.5375	178
1.5625	188
1.5875	320
1.6125	191
1.6375	214
1.6625	103
1.6875	100
1.7125	112
1.7375	194
1.7625	183
1.7875	184
1.8125	194
1.8375	136
1.8625	102
1.8875	125
1.9125	109
1.9375	101
1.9625	158
1.9875	125
2.0125	103
2.0375	90
2.0625	63
2.0875	56
2.1125	27
2.1375	43
2.1625	28
2.1875	43
2.2125	22
2.2375	17
2.2625	21
2.2875	30
2.3125	23
2.3375	36
2.3625	17
2.3875	10
2.4125	3
2.4375	9
2.4625	29
2.4875	8
2.5125	17
2.5375	22
2.5625	9
2.5875	14
2.6125	10
2.6375	4
2.6625	1
2.6875	3
2.7125	10
2.7375	8
2.7625	5
2.7875	1
2.8125	2
2.8375	2
2.8625	1
2.8875	1
2.9125	5
2.9375	1
2.9625	3
2.9875	0
3.0125	0
3.0375	0
3.0625	0
3.0875	0
3.1125	0
3.1375	0
3.1625	0
3.1875	0
3.2125	0
3.2375	0
3.2625	0
3.2875	0
3.3125	0
3.3375	0
3.3625	0
3.3875	0
3.4125	0
3.4375	1
3.4625	3
3.4875	0
3.5125	0
3.5375	0
3.5625	0
3.5875	0
3.6125	0
3.6375	0
3.6625	0
3.6875	0
3.7125	0
3.7375	1
3.7625	0
3.7875	8
3.8125	5
3.8375	1
3.8625	0
3.8875	2
3.9125	0
3.9375	0
3.9625	0
3.9875	0
4.0125	0
4.0375	1
4.0625	1
4.0875	0
4.1125	8
4.1375	5
4.1625	3
4.1875	1
4.2125	2
4.2375	1
4.2625	3
4.2875	0
4.3125	1
4.3375	1
4.3625	0
4.3875	0
4.4125	0
4.4375	0
4.4625	1
4.4875	0
4.5125	0
4.5375	0
4.5625	0
4.5875	0
4.6125	0
4.6375	0
4.6625	0
4.6875	0
4.7125	0
4.7375	0
4.7625	0
4.7875	0
4.8125	3
4.8375	0
4.8625	0
4.8875	0
4.9125	0
4.9375	0
4.9625	0
4.9875	0
