# r/deg		gt	Delta gt	kbin
0.0519253	0.0348346	0.0253749	0.843737	152
0.0642637	0.0174504	0.0212107	0.847933	212
0.0773997	-0.00266505	0.021312	0.838728	222
0.0903348	0.0454546	0.0183335	0.832419	299
0.103511	0.000891443	0.0173797	0.843753	327
0.116672	0.010219	0.0173505	0.840571	327
0.129198	-0.0186086	0.0164269	0.840393	367
0.143241	0.00636172	0.0161166	0.837653	377
