# z	N(z)
0.0125	64
0.0375	66
0.0625	85
0.0875	58
0.1125	62
0.1375	60
0.1625	19
0.1875	34
0.2125	79
0.2375	49
0.2625	17
0.2875	7
0.3125	13
0.3375	12
0.3625	7
0.3875	10
0.4125	7
0.4375	21
0.4625	81
0.4875	84
0.5125	113
0.5375	158
0.5625	118
0.5875	299
0.6125	737
0.6375	824
0.6625	2378
0.6875	2038
0.7125	1820
0.7375	2430
0.7625	2095
0.7875	1962
0.8125	2726
0.8375	3127
0.8625	2554
0.8875	1517
0.9125	2084
0.9375	2998
0.9625	2463
0.9875	2263
1.0125	1806
1.0375	800
1.0625	941
1.0875	1416
1.1125	1567
1.1375	1770
1.1625	1022
1.1875	1774
1.2125	981
1.2375	1208
1.2625	787
1.2875	693
1.3125	504
1.3375	589
1.3625	605
1.3875	670
1.4125	720
1.4375	806
1.4625	833
1.4875	808
1.5125	477
1.5375	352
1.5625	330
1.5875	454
1.6125	391
1.6375	227
1.6625	176
1.6875	209
1.7125	233
1.7375	340
1.7625	387
1.7875	438
1.8125	336
1.8375	293
1.8625	212
1.8875	178
1.9125	184
1.9375	264
1.9625	324
1.9875	371
2.0125	282
2.0375	187
2.0625	166
2.0875	110
2.1125	52
2.1375	95
2.1625	68
2.1875	57
2.2125	58
2.2375	72
2.2625	33
2.2875	54
2.3125	65
2.3375	59
2.3625	50
2.3875	21
2.4125	9
2.4375	18
2.4625	24
2.4875	10
2.5125	19
2.5375	55
2.5625	29
2.5875	20
2.6125	51
2.6375	17
2.6625	6
2.6875	12
2.7125	17
2.7375	11
2.7625	3
2.7875	3
2.8125	6
2.8375	7
2.8625	1
2.8875	4
2.9125	0
2.9375	6
2.9625	1
2.9875	0
3.0125	0
3.0375	0
3.0625	0
3.0875	0
3.1125	4
3.1375	4
3.1625	0
3.1875	1
3.2125	0
3.2375	0
3.2625	3
3.2875	0
3.3125	0
3.3375	0
3.3625	0
3.3875	0
3.4125	0
3.4375	0
3.4625	0
3.4875	0
3.5125	0
3.5375	0
3.5625	0
3.5875	0
3.6125	0
3.6375	0
3.6625	0
3.6875	0
3.7125	0
3.7375	1
3.7625	0
3.7875	0
3.8125	1
3.8375	0
3.8625	0
3.8875	0
3.9125	0
3.9375	0
3.9625	0
3.9875	0
4.0125	0
4.0375	0
4.0625	0
4.0875	0
4.1125	3
4.1375	3
4.1625	1
4.1875	0
4.2125	0
4.2375	0
4.2625	1
4.2875	0
4.3125	0
4.3375	2
4.3625	0
4.3875	0
4.4125	0
4.4375	0
4.4625	1
4.4875	0
4.5125	0
4.5375	0
4.5625	0
4.5875	0
4.6125	0
4.6375	0
4.6625	0
4.6875	0
4.7125	0
4.7375	0
4.7625	0
4.7875	0
4.8125	2
4.8375	0
4.8625	0
4.8875	0
4.9125	0
4.9375	0
4.9625	0
4.9875	0
