# r/deg		gt	Delta gt	kbin
0.044736	0.0425809	0.0270673	0.842928	133
0.0555831	0.0656288	0.0248131	0.822421	170
0.0671522	0.0491198	0.0224558	0.824994	201
0.0784748	0.018469	0.0203656	0.828246	246
0.0894581	0.0201419	0.0190067	0.823135	284
0.100738	0.0304854	0.0198912	0.822602	262
0.112115	0.00777126	0.0176839	0.825216	322
0.123157	0.0385572	0.0191335	0.817415	290
