# z	N(z)
0.0125	140
0.0375	217
0.0625	283
0.0875	250
0.1125	346
0.1375	346
0.1625	170
0.1875	175
0.2125	309
0.2375	89
0.2625	55
0.2875	75
0.3125	76
0.3375	16
0.3625	47
0.3875	12
0.4125	6
0.4375	5
0.4625	4
0.4875	24
0.5125	9
0.5375	24
0.5625	68
0.5875	115
0.6125	238
0.6375	356
0.6625	791
0.6875	1185
0.7125	1400
0.7375	2329
0.7625	2167
0.7875	2517
0.8125	3628
0.8375	3905
0.8625	3458
0.8875	2085
0.9125	2668
0.9375	4070
0.9625	3176
0.9875	2992
1.0125	2259
1.0375	995
1.0625	1248
1.0875	1641
1.1125	1779
1.1375	1945
1.1625	1076
1.1875	1803
1.2125	1045
1.2375	1297
1.2625	886
1.2875	849
1.3125	568
1.3375	649
1.3625	755
1.3875	827
1.4125	942
1.4375	1154
1.4625	1188
1.4875	1041
1.5125	640
1.5375	471
1.5625	454
1.5875	564
1.6125	570
1.6375	411
1.6625	273
1.6875	228
1.7125	341
1.7375	494
1.7625	602
1.7875	690
1.8125	578
1.8375	379
1.8625	301
1.8875	287
1.9125	321
1.9375	401
1.9625	558
1.9875	596
2.0125	458
2.0375	279
2.0625	304
2.0875	225
2.1125	145
2.1375	189
2.1625	142
2.1875	168
2.2125	127
2.2375	156
2.2625	120
2.2875	199
2.3125	159
2.3375	191
2.3625	118
2.3875	66
2.4125	55
2.4375	59
2.4625	70
2.4875	53
2.5125	71
2.5375	194
2.5625	89
2.5875	98
2.6125	138
2.6375	114
2.6625	78
2.6875	61
2.7125	26
2.7375	60
2.7625	29
2.7875	36
2.8125	44
2.8375	39
2.8625	15
2.8875	7
2.9125	23
2.9375	27
2.9625	17
2.9875	8
3.0125	5
3.0375	0
3.0625	0
3.0875	6
3.1125	12
3.1375	6
3.1625	3
3.1875	0
3.2125	1
3.2375	0
3.2625	1
3.2875	1
3.3125	0
3.3375	0
3.3625	0
3.3875	0
3.4125	0
3.4375	0
3.4625	0
3.4875	0
3.5125	0
3.5375	0
3.5625	0
3.5875	0
3.6125	0
3.6375	0
3.6625	0
3.6875	0
3.7125	0
3.7375	0
3.7625	0
3.7875	0
3.8125	0
3.8375	0
3.8625	0
3.8875	0
3.9125	0
3.9375	0
3.9625	0
3.9875	0
4.0125	0
4.0375	0
4.0625	0
4.0875	0
4.1125	0
4.1375	0
4.1625	0
4.1875	0
4.2125	0
4.2375	0
4.2625	0
4.2875	0
4.3125	0
4.3375	0
4.3625	0
4.3875	0
4.4125	0
4.4375	0
4.4625	2
4.4875	0
4.5125	0
4.5375	0
4.5625	0
4.5875	0
4.6125	0
4.6375	0
4.6625	0
4.6875	0
4.7125	0
4.7375	0
4.7625	0
4.7875	0
4.8125	2
4.8375	0
4.8625	0
4.8875	0
4.9125	0
4.9375	0
4.9625	0
4.9875	4
