# r/deg		gt	Delta gt	kbin
0.0401425	0.0725965	0.0330712	0.832869	96
0.0504293	0.0183833	0.0321216	0.822129	102
0.0604769	-0.00299385	0.028371	0.839195	125
0.0704144	0.0616057	0.0242453	0.842466	168
0.0810689	0.0463531	0.0236391	0.823091	188
0.0911788	0.00757776	0.0215734	0.823214	230
0.101384	0.00301247	0.0222323	0.824592	210
0.111369	0.033049	0.02079	0.823695	237
