# z	N(z)
0.0125	114
0.0375	157
0.0625	239
0.0875	242
0.1125	325
0.1375	283
0.1625	123
0.1875	138
0.2125	254
0.2375	79
0.2625	47
0.2875	51
0.3125	51
0.3375	10
0.3625	38
0.3875	9
0.4125	3
0.4375	6
0.4625	7
0.4875	10
0.5125	10
0.5375	23
0.5625	52
0.5875	92
0.6125	195
0.6375	244
0.6625	594
0.6875	996
0.7125	1167
0.7375	1893
0.7625	1582
0.7875	1893
0.8125	2790
0.8375	3050
0.8625	2674
0.8875	1484
0.9125	2016
0.9375	3149
0.9625	2374
0.9875	2108
1.0125	1694
1.0375	710
1.0625	931
1.0875	1223
1.1125	1179
1.1375	1311
1.1625	777
1.1875	1244
1.2125	732
1.2375	826
1.2625	664
1.2875	532
1.3125	379
1.3375	441
1.3625	466
1.3875	547
1.4125	643
1.4375	739
1.4625	810
1.4875	713
1.5125	448
1.5375	349
1.5625	285
1.5875	395
1.6125	369
1.6375	298
1.6625	184
1.6875	147
1.7125	173
1.7375	264
1.7625	353
1.7875	465
1.8125	377
1.8375	262
1.8625	191
1.8875	160
1.9125	226
1.9375	269
1.9625	364
1.9875	376
2.0125	328
2.0375	161
2.0625	193
2.0875	115
2.1125	97
2.1375	110
2.1625	103
2.1875	117
2.2125	61
2.2375	107
2.2625	89
2.2875	129
2.3125	88
2.3375	132
2.3625	70
2.3875	38
2.4125	36
2.4375	29
2.4625	38
2.4875	23
2.5125	59
2.5375	94
2.5625	61
2.5875	48
2.6125	62
2.6375	62
2.6625	34
2.6875	44
2.7125	32
2.7375	44
2.7625	11
2.7875	28
2.8125	34
2.8375	33
2.8625	3
2.8875	3
2.9125	19
2.9375	17
2.9625	11
2.9875	9
3.0125	4
3.0375	2
3.0625	0
3.0875	3
3.1125	2
3.1375	2
3.1625	0
3.1875	0
3.2125	0
3.2375	0
3.2625	0
3.2875	0
3.3125	0
3.3375	0
3.3625	0
3.3875	0
3.4125	0
3.4375	0
3.4625	0
3.4875	0
3.5125	0
3.5375	0
3.5625	0
3.5875	0
3.6125	0
3.6375	0
3.6625	0
3.6875	0
3.7125	0
3.7375	0
3.7625	0
3.7875	0
3.8125	0
3.8375	0
3.8625	0
3.8875	0
3.9125	0
3.9375	0
3.9625	0
3.9875	0
4.0125	0
4.0375	0
4.0625	0
4.0875	0
4.1125	0
4.1375	0
4.1625	0
4.1875	0
4.2125	0
4.2375	0
4.2625	0
4.2875	0
4.3125	0
4.3375	0
4.3625	0
4.3875	0
4.4125	0
4.4375	0
4.4625	1
4.4875	0
4.5125	0
4.5375	1
4.5625	0
4.5875	0
4.6125	0
4.6375	0
4.6625	0
4.6875	0
4.7125	0
4.7375	0
4.7625	0
4.7875	0
4.8125	4
4.8375	0
4.8625	0
4.8875	0
4.9125	0
4.9375	0
4.9625	0
4.9875	1
