# r/deg		gt	Delta gt	kbin
0.0408704	0.00844573	0.033943	0.827947	91
0.0506716	0.00279555	0.0319671	0.828617	100
0.0612615	-0.00696843	0.0266223	0.828954	148
0.0714246	0.0424737	0.025785	0.846942	146
0.0820623	0.0394278	0.0242368	0.844279	171
0.0923878	0.0333389	0.0237893	0.817192	186
0.102339	0.0436478	0.0237479	0.817615	189
0.112652	0.0438461	0.0205047	0.836149	244
