# z	N(z)
0.0125	87
0.0375	139
0.0625	168
0.0875	193
0.1125	275
0.1375	235
0.1625	115
0.1875	97
0.2125	213
0.2375	55
0.2625	33
0.2875	49
0.3125	32
0.3375	11
0.3625	36
0.3875	6
0.4125	0
0.4375	9
0.4625	4
0.4875	6
0.5125	4
0.5375	16
0.5625	36
0.5875	86
0.6125	145
0.6375	205
0.6625	489
0.6875	752
0.7125	988
0.7375	1504
0.7625	1360
0.7875	1578
0.8125	2283
0.8375	2557
0.8625	2241
0.8875	1369
0.9125	1798
0.9375	2596
0.9625	2114
0.9875	2007
1.0125	1439
1.0375	666
1.0625	830
1.0875	1071
1.1125	1133
1.1375	1232
1.1625	680
1.1875	1180
1.2125	665
1.2375	857
1.2625	614
1.2875	535
1.3125	345
1.3375	407
1.3625	463
1.3875	544
1.4125	581
1.4375	735
1.4625	750
1.4875	722
1.5125	429
1.5375	346
1.5625	290
1.5875	404
1.6125	353
1.6375	307
1.6625	176
1.6875	160
1.7125	224
1.7375	297
1.7625	361
1.7875	446
1.8125	371
1.8375	281
1.8625	187
1.8875	180
1.9125	207
1.9375	272
1.9625	367
1.9875	394
2.0125	325
2.0375	199
2.0625	235
2.0875	114
2.1125	107
2.1375	130
2.1625	92
2.1875	132
2.2125	85
2.2375	91
2.2625	74
2.2875	123
2.3125	98
2.3375	123
2.3625	68
2.3875	37
2.4125	30
2.4375	35
2.4625	32
2.4875	25
2.5125	34
2.5375	94
2.5625	57
2.5875	62
2.6125	73
2.6375	78
2.6625	37
2.6875	40
2.7125	32
2.7375	29
2.7625	12
2.7875	30
2.8125	16
2.8375	21
2.8625	8
2.8875	3
2.9125	17
2.9375	20
2.9625	10
2.9875	4
3.0125	2
3.0375	0
3.0625	0
3.0875	1
3.1125	6
3.1375	2
3.1625	0
3.1875	0
3.2125	2
3.2375	0
3.2625	0
3.2875	0
3.3125	0
3.3375	0
3.3625	0
3.3875	0
3.4125	0
3.4375	0
3.4625	0
3.4875	0
3.5125	0
3.5375	0
3.5625	0
3.5875	0
3.6125	0
3.6375	0
3.6625	0
3.6875	0
3.7125	0
3.7375	0
3.7625	0
3.7875	0
3.8125	0
3.8375	0
3.8625	0
3.8875	0
3.9125	0
3.9375	0
3.9625	0
3.9875	0
4.0125	0
4.0375	0
4.0625	0
4.0875	0
4.1125	0
4.1375	0
4.1625	0
4.1875	0
4.2125	0
4.2375	0
4.2625	0
4.2875	0
4.3125	0
4.3375	0
4.3625	0
4.3875	0
4.4125	0
4.4375	0
4.4625	0
4.4875	0
4.5125	0
4.5375	0
4.5625	0
4.5875	0
4.6125	0
4.6375	0
4.6625	0
4.6875	0
4.7125	0
4.7375	0
4.7625	0
4.7875	0
4.8125	3
4.8375	0
4.8625	0
4.8875	0
4.9125	0
4.9375	0
4.9625	0
4.9875	0
