# r/deg		gt	Delta gt	kbin
0.0478103	0.0622477	0.0217869	0.900792	174
0.0596473	0.0285715	0.0211075	0.88832	186
0.0718037	0.039622	0.0190418	0.905164	221
0.0838637	0.00734981	0.0200932	0.88	209
0.096299	0.0167673	0.0167661	0.894335	290
0.108453	-0.00266049	0.0161201	0.887904	323
0.120622	0.000385783	0.0155864	0.882775	348
0.132544	0.0218604	0.0137152	0.889796	442
