# z	N(z)
0.0125	62
0.0375	93
0.0625	122
0.0875	73
0.1125	186
0.1375	127
0.1625	22
0.1875	103
0.2125	86
0.2375	126
0.2625	49
0.2875	9
0.3125	15
0.3375	22
0.3625	5
0.3875	38
0.4125	66
0.4375	5
0.4625	63
0.4875	78
0.5125	108
0.5375	215
0.5625	252
0.5875	309
0.6125	793
0.6375	1061
0.6625	2443
0.6875	2414
0.7125	1949
0.7375	2594
0.7625	2387
0.7875	2401
0.8125	3200
0.8375	3751
0.8625	2991
0.8875	1746
0.9125	2344
0.9375	3574
0.9625	2965
0.9875	2607
1.0125	2076
1.0375	910
1.0625	1154
1.0875	1659
1.1125	1953
1.1375	1947
1.1625	1201
1.1875	2052
1.2125	1116
1.2375	1268
1.2625	861
1.2875	776
1.3125	545
1.3375	674
1.3625	679
1.3875	797
1.4125	837
1.4375	998
1.4625	1031
1.4875	955
1.5125	575
1.5375	505
1.5625	406
1.5875	474
1.6125	445
1.6375	292
1.6625	228
1.6875	202
1.7125	274
1.7375	379
1.7625	562
1.7875	541
1.8125	466
1.8375	322
1.8625	264
1.8875	198
1.9125	259
1.9375	259
1.9625	410
1.9875	391
2.0125	320
2.0375	244
2.0625	316
2.0875	128
2.1125	86
2.1375	134
2.1625	92
2.1875	68
2.2125	72
2.2375	63
2.2625	67
2.2875	81
2.3125	66
2.3375	64
2.3625	54
2.3875	34
2.4125	28
2.4375	32
2.4625	86
2.4875	17
2.5125	14
2.5375	70
2.5625	35
2.5875	31
2.6125	63
2.6375	35
2.6625	12
2.6875	12
2.7125	25
2.7375	29
2.7625	19
2.7875	5
2.8125	6
2.8375	16
2.8625	2
2.8875	8
2.9125	0
2.9375	6
2.9625	5
2.9875	0
3.0125	4
3.0375	0
3.0625	2
3.0875	0
3.1125	2
3.1375	2
3.1625	0
3.1875	0
3.2125	2
3.2375	0
3.2625	2
3.2875	0
3.3125	0
3.3375	0
3.3625	0
3.3875	0
3.4125	0
3.4375	0
3.4625	0
3.4875	0
3.5125	0
3.5375	0
3.5625	0
3.5875	0
3.6125	0
3.6375	0
3.6625	0
3.6875	0
3.7125	0
3.7375	0
3.7625	0
3.7875	0
3.8125	1
3.8375	0
3.8625	0
3.8875	0
3.9125	0
3.9375	0
3.9625	0
3.9875	3
4.0125	0
4.0375	1
4.0625	1
4.0875	0
4.1125	10
4.1375	2
4.1625	7
4.1875	1
4.2125	1
4.2375	0
4.2625	5
4.2875	0
4.3125	0
4.3375	0
4.3625	0
4.3875	0
4.4125	0
4.4375	0
4.4625	5
4.4875	0
4.5125	0
4.5375	1
4.5625	0
4.5875	0
4.6125	0
4.6375	0
4.6625	0
4.6875	0
4.7125	0
4.7375	0
4.7625	0
4.7875	0
4.8125	4
4.8375	0
4.8625	0
4.8875	0
4.9125	0
4.9375	0
4.9625	0
4.9875	0
