# z	N(z)
0.0125	52
0.0375	24
0.0625	23
0.0875	18
0.1125	18
0.1375	16
0.1625	18
0.1875	26
0.2125	29
0.2375	36
0.2625	22
0.2875	10
0.3125	16
0.3375	25
0.3625	90
0.3875	121
0.4125	201
0.4375	166
0.4625	299
0.4875	324
0.5125	481
0.5375	489
0.5625	408
0.5875	670
0.6125	1306
0.6375	966
0.6625	2164
0.6875	1975
0.7125	1751
0.7375	2201
0.7625	1714
0.7875	1842
0.8125	2646
0.8375	3078
0.8625	2665
0.8875	1572
0.9125	2009
0.9375	3082
0.9625	2434
0.9875	2155
1.0125	1605
1.0375	791
1.0625	881
1.0875	1230
1.1125	1322
1.1375	1025
1.1625	606
1.1875	993
1.2125	512
1.2375	471
1.2625	272
1.2875	238
1.3125	268
1.3375	287
1.3625	265
1.3875	297
1.4125	376
1.4375	441
1.4625	469
1.4875	386
1.5125	188
1.5375	188
1.5625	206
1.5875	266
1.6125	186
1.6375	166
1.6625	67
1.6875	119
1.7125	92
1.7375	167
1.7625	174
1.7875	186
1.8125	199
1.8375	112
1.8625	112
1.8875	86
1.9125	100
1.9375	80
1.9625	136
1.9875	112
2.0125	98
2.0375	74
2.0625	48
2.0875	37
2.1125	32
2.1375	35
2.1625	18
2.1875	31
2.2125	18
2.2375	17
2.2625	22
2.2875	27
2.3125	18
2.3375	21
2.3625	31
2.3875	8
2.4125	6
2.4375	7
2.4625	15
2.4875	11
2.5125	10
2.5375	34
2.5625	14
2.5875	1
2.6125	19
2.6375	4
2.6625	1
2.6875	5
2.7125	11
2.7375	9
2.7625	5
2.7875	5
2.8125	2
2.8375	0
2.8625	0
2.8875	3
2.9125	4
2.9375	1
2.9625	3
2.9875	0
3.0125	0
3.0375	0
3.0625	0
3.0875	0
3.1125	2
3.1375	3
3.1625	0
3.1875	0
3.2125	0
3.2375	0
3.2625	0
3.2875	0
3.3125	0
3.3375	0
3.3625	0
3.3875	0
3.4125	0
3.4375	0
3.4625	1
3.4875	0
3.5125	0
3.5375	0
3.5625	0
3.5875	0
3.6125	0
3.6375	0
3.6625	0
3.6875	0
3.7125	0
3.7375	1
3.7625	0
3.7875	3
3.8125	2
3.8375	0
3.8625	0
3.8875	10
3.9125	0
3.9375	0
3.9625	0
3.9875	5
4.0125	0
4.0375	1
4.0625	2
4.0875	1
4.1125	8
4.1375	4
4.1625	3
4.1875	2
4.2125	0
4.2375	3
4.2625	2
4.2875	0
4.3125	0
4.3375	1
4.3625	0
4.3875	0
4.4125	0
4.4375	0
4.4625	1
4.4875	0
4.5125	0
4.5375	0
4.5625	0
4.5875	0
4.6125	0
4.6375	0
4.6625	0
4.6875	0
4.7125	0
4.7375	0
4.7625	0
4.7875	0
4.8125	3
4.8375	0
4.8625	0
4.8875	0
4.9125	0
4.9375	0
4.9625	0
4.9875	2
