# r/deg		gt	Delta gt	kbin
0.0546453	0.0442274	0.0247331	0.833524	160
0.068497	0.0106261	0.0204329	0.833523	227
0.0820391	0.0351334	0.0192145	0.840897	254
0.095466	0.0646838	0.0188976	0.836597	267
0.109591	0.0279433	0.0197589	0.830379	250
0.123584	0.0539538	0.0176556	0.830462	315
0.136982	0.022865	0.015914	0.827626	384
0.150815	0.0310253	0.0148226	0.838175	433
