# z	N(z)
0.0125	84
0.0375	54
0.0625	104
0.0875	70
0.1125	59
0.1375	67
0.1625	24
0.1875	36
0.2125	50
0.2375	41
0.2625	17
0.2875	6
0.3125	5
0.3375	10
0.3625	1
0.3875	8
0.4125	16
0.4375	15
0.4625	82
0.4875	108
0.5125	162
0.5375	141
0.5625	134
0.5875	271
0.6125	663
0.6375	654
0.6625	2207
0.6875	1954
0.7125	1755
0.7375	2215
0.7625	1619
0.7875	1681
0.8125	2256
0.8375	2532
0.8625	2123
0.8875	1179
0.9125	1702
0.9375	2447
0.9625	1981
0.9875	1704
1.0125	1439
1.0375	630
1.0625	716
1.0875	985
1.1125	1178
1.1375	1298
1.1625	784
1.1875	1294
1.2125	771
1.2375	902
1.2625	641
1.2875	466
1.3125	341
1.3375	404
1.3625	450
1.3875	533
1.4125	514
1.4375	553
1.4625	622
1.4875	541
1.5125	328
1.5375	248
1.5625	205
1.5875	322
1.6125	320
1.6375	194
1.6625	138
1.6875	121
1.7125	151
1.7375	230
1.7625	274
1.7875	296
1.8125	267
1.8375	189
1.8625	163
1.8875	118
1.9125	161
1.9375	146
1.9625	182
1.9875	229
2.0125	195
2.0375	109
2.0625	122
2.0875	52
2.1125	26
2.1375	74
2.1625	47
2.1875	44
2.2125	32
2.2375	43
2.2625	26
2.2875	41
2.3125	37
2.3375	33
2.3625	24
2.3875	10
2.4125	9
2.4375	10
2.4625	15
2.4875	3
2.5125	12
2.5375	20
2.5625	24
2.5875	10
2.6125	27
2.6375	10
2.6625	7
2.6875	2
2.7125	13
2.7375	9
2.7625	5
2.7875	1
2.8125	3
2.8375	6
2.8625	1
2.8875	2
2.9125	1
2.9375	6
2.9625	4
2.9875	0
3.0125	1
3.0375	0
3.0625	0
3.0875	0
3.1125	1
3.1375	0
3.1625	0
3.1875	2
3.2125	1
3.2375	0
3.2625	0
3.2875	0
3.3125	0
3.3375	0
3.3625	0
3.3875	0
3.4125	0
3.4375	0
3.4625	0
3.4875	0
3.5125	0
3.5375	0
3.5625	0
3.5875	0
3.6125	0
3.6375	0
3.6625	0
3.6875	0
3.7125	0
3.7375	0
3.7625	0
3.7875	0
3.8125	0
3.8375	0
3.8625	0
3.8875	0
3.9125	0
3.9375	0
3.9625	0
3.9875	0
4.0125	0
4.0375	0
4.0625	1
4.0875	0
4.1125	0
4.1375	3
4.1625	1
4.1875	0
4.2125	0
4.2375	0
4.2625	1
4.2875	0
4.3125	0
4.3375	0
4.3625	0
4.3875	0
4.4125	0
4.4375	0
4.4625	1
4.4875	0
4.5125	0
4.5375	1
4.5625	0
4.5875	0
4.6125	0
4.6375	0
4.6625	0
4.6875	0
4.7125	0
4.7375	0
4.7625	0
4.7875	0
4.8125	3
4.8375	0
4.8625	0
4.8875	0
4.9125	0
4.9375	0
4.9625	0
4.9875	0
