# r/deg		gt	Delta gt	kbin
0.0426509	0.0318607	0.0335639	0.781172	106
0.0537811	0.0572314	0.0249729	0.788849	184
0.0645906	0.0229419	0.031987	0.764073	126
0.0752004	0.0331676	0.0257233	0.779865	180
0.0861834	0.0236934	0.0265436	0.765431	179
0.0972503	0.0611368	0.0212464	0.792303	254
0.108415	0.0174144	0.0202507	0.795487	284
0.119215	0.035226	0.019889	0.797825	290
