# z	N(z)
0.0125	44
0.0375	35
0.0625	45
0.0875	40
0.1125	64
0.1375	42
0.1625	16
0.1875	24
0.2125	40
0.2375	20
0.2625	15
0.2875	3
0.3125	4
0.3375	6
0.3625	5
0.3875	16
0.4125	9
0.4375	11
0.4625	91
0.4875	56
0.5125	134
0.5375	120
0.5625	119
0.5875	220
0.6125	460
0.6375	534
0.6625	1695
0.6875	1473
0.7125	1323
0.7375	1561
0.7625	1167
0.7875	1236
0.8125	1598
0.8375	1893
0.8625	1473
0.8875	805
0.9125	1157
0.9375	1772
0.9625	1381
0.9875	1226
1.0125	964
1.0375	430
1.0625	512
1.0875	712
1.1125	869
1.1375	922
1.1625	552
1.1875	908
1.2125	525
1.2375	613
1.2625	434
1.2875	335
1.3125	258
1.3375	248
1.3625	306
1.3875	321
1.4125	350
1.4375	425
1.4625	422
1.4875	440
1.5125	257
1.5375	184
1.5625	144
1.5875	206
1.6125	190
1.6375	158
1.6625	103
1.6875	104
1.7125	106
1.7375	173
1.7625	189
1.7875	210
1.8125	186
1.8375	115
1.8625	117
1.8875	73
1.9125	138
1.9375	109
1.9625	167
1.9875	149
2.0125	126
2.0375	86
2.0625	81
2.0875	54
2.1125	30
2.1375	56
2.1625	35
2.1875	32
2.2125	23
2.2375	28
2.2625	20
2.2875	27
2.3125	26
2.3375	30
2.3625	27
2.3875	13
2.4125	3
2.4375	8
2.4625	17
2.4875	5
2.5125	6
2.5375	16
2.5625	21
2.5875	16
2.6125	13
2.6375	3
2.6625	5
2.6875	2
2.7125	9
2.7375	3
2.7625	4
2.7875	1
2.8125	1
2.8375	4
2.8625	0
2.8875	1
2.9125	1
2.9375	1
2.9625	3
2.9875	0
3.0125	1
3.0375	0
3.0625	1
3.0875	0
3.1125	1
3.1375	2
3.1625	0
3.1875	1
3.2125	0
3.2375	0
3.2625	3
3.2875	0
3.3125	0
3.3375	0
3.3625	0
3.3875	0
3.4125	0
3.4375	0
3.4625	0
3.4875	0
3.5125	0
3.5375	0
3.5625	0
3.5875	0
3.6125	0
3.6375	0
3.6625	0
3.6875	0
3.7125	0
3.7375	0
3.7625	0
3.7875	0
3.8125	0
3.8375	0
3.8625	0
3.8875	0
3.9125	0
3.9375	0
3.9625	0
3.9875	0
4.0125	0
4.0375	2
4.0625	0
4.0875	0
4.1125	1
4.1375	0
4.1625	0
4.1875	0
4.2125	0
4.2375	1
4.2625	0
4.2875	0
4.3125	0
4.3375	0
4.3625	0
4.3875	0
4.4125	0
4.4375	0
4.4625	0
4.4875	0
4.5125	0
4.5375	1
4.5625	0
4.5875	0
4.6125	0
4.6375	0
4.6625	0
4.6875	0
4.7125	0
4.7375	0
4.7625	0
4.7875	0
4.8125	0
4.8375	0
4.8625	0
4.8875	0
4.9125	0
4.9375	0
4.9625	0
4.9875	0
