# r/deg		gt	Delta gt	kbin
0.0460202	-0.00938131	0.0363687	0.812796	82
0.0574901	0.060546	0.0322352	0.797041	112
0.0690513	0.0569334	0.0296664	0.811614	126
0.0807903	0.00112606	0.0256855	0.812172	169
0.0925252	0.0104045	0.0274381	0.795203	153
0.103612	-0.0200987	0.0256726	0.804817	173
0.115612	0.04635	0.0228057	0.78892	227
0.127293	0.0354001	0.0234284	0.805551	209
