# r/deg		gt	Delta gt	kbin
0.0444853	0.0539284	0.0336604	0.838749	88
0.0569944	0.0287416	0.0310239	0.804008	114
0.0675665	0.0329333	0.0242615	0.812887	186
0.0793978	0.00629467	0.0238073	0.811209	190
0.0908458	0.0350112	0.0227656	0.802053	212
0.102036	-0.0241096	0.0221885	0.817164	215
0.11298	0.0114481	0.0214199	0.814969	238
0.124765	-0.00200947	0.0207231	0.805215	262
