# z	N(z)
0.0125	64
0.0375	53
0.0625	76
0.0875	49
0.1125	63
0.1375	58
0.1625	11
0.1875	31
0.2125	41
0.2375	32
0.2625	19
0.2875	6
0.3125	4
0.3375	6
0.3625	0
0.3875	8
0.4125	9
0.4375	18
0.4625	78
0.4875	90
0.5125	157
0.5375	199
0.5625	148
0.5875	257
0.6125	548
0.6375	587
0.6625	1844
0.6875	1757
0.7125	1445
0.7375	1793
0.7625	1380
0.7875	1398
0.8125	1875
0.8375	2154
0.8625	1784
0.8875	885
0.9125	1337
0.9375	2001
0.9625	1536
0.9875	1491
1.0125	1139
1.0375	474
1.0625	614
1.0875	843
1.1125	920
1.1375	1019
1.1625	597
1.1875	1004
1.2125	575
1.2375	666
1.2625	495
1.2875	357
1.3125	278
1.3375	306
1.3625	355
1.3875	397
1.4125	361
1.4375	487
1.4625	523
1.4875	458
1.5125	272
1.5375	185
1.5625	162
1.5875	262
1.6125	219
1.6375	149
1.6625	117
1.6875	97
1.7125	118
1.7375	166
1.7625	219
1.7875	252
1.8125	180
1.8375	152
1.8625	140
1.8875	96
1.9125	132
1.9375	123
1.9625	166
1.9875	182
2.0125	160
2.0375	101
2.0625	90
2.0875	47
2.1125	34
2.1375	63
2.1625	34
2.1875	30
2.2125	32
2.2375	33
2.2625	26
2.2875	28
2.3125	22
2.3375	23
2.3625	18
2.3875	10
2.4125	6
2.4375	8
2.4625	27
2.4875	4
2.5125	4
2.5375	16
2.5625	16
2.5875	10
2.6125	21
2.6375	6
2.6625	3
2.6875	2
2.7125	7
2.7375	9
2.7625	5
2.7875	2
2.8125	3
2.8375	3
2.8625	0
2.8875	1
2.9125	0
2.9375	2
2.9625	3
2.9875	0
3.0125	0
3.0375	0
3.0625	0
3.0875	0
3.1125	0
3.1375	5
3.1625	0
3.1875	0
3.2125	0
3.2375	0
3.2625	4
3.2875	0
3.3125	0
3.3375	0
3.3625	0
3.3875	0
3.4125	0
3.4375	0
3.4625	0
3.4875	0
3.5125	0
3.5375	0
3.5625	0
3.5875	0
3.6125	0
3.6375	0
3.6625	0
3.6875	0
3.7125	0
3.7375	0
3.7625	0
3.7875	0
3.8125	0
3.8375	0
3.8625	0
3.8875	0
3.9125	0
3.9375	0
3.9625	0
3.9875	0
4.0125	0
4.0375	0
4.0625	2
4.0875	0
4.1125	2
4.1375	2
4.1625	1
4.1875	1
4.2125	0
4.2375	0
4.2625	0
4.2875	0
4.3125	0
4.3375	2
4.3625	0
4.3875	0
4.4125	0
4.4375	0
4.4625	1
4.4875	0
4.5125	0
4.5375	0
4.5625	0
4.5875	0
4.6125	0
4.6375	0
4.6625	0
4.6875	0
4.7125	0
4.7375	0
4.7625	0
4.7875	0
4.8125	2
4.8375	0
4.8625	0
4.8875	0
4.9125	0
4.9375	0
4.9625	0
4.9875	0
