# z	N(z)
0.0125	103
0.0375	80
0.0625	129
0.0875	75
0.1125	110
0.1375	104
0.1625	24
0.1875	85
0.2125	71
0.2375	81
0.2625	34
0.2875	11
0.3125	11
0.3375	15
0.3625	8
0.3875	31
0.4125	37
0.4375	18
0.4625	118
0.4875	106
0.5125	165
0.5375	253
0.5625	226
0.5875	377
0.6125	928
0.6375	1095
0.6625	2943
0.6875	2744
0.7125	2444
0.7375	3032
0.7625	2375
0.7875	2444
0.8125	3521
0.8375	3960
0.8625	3183
0.8875	1781
0.9125	2342
0.9375	3659
0.9625	2936
0.9875	2624
1.0125	1986
1.0375	903
1.0625	1154
1.0875	1537
1.1125	1886
1.1375	1988
1.1625	1143
1.1875	1950
1.2125	1114
1.2375	1252
1.2625	939
1.2875	706
1.3125	554
1.3375	654
1.3625	687
1.3875	785
1.4125	770
1.4375	958
1.4625	1000
1.4875	913
1.5125	570
1.5375	432
1.5625	354
1.5875	486
1.6125	441
1.6375	289
1.6625	204
1.6875	237
1.7125	246
1.7375	364
1.7625	472
1.7875	469
1.8125	401
1.8375	320
1.8625	247
1.8875	210
1.9125	275
1.9375	256
1.9625	331
1.9875	345
2.0125	300
2.0375	194
2.0625	248
2.0875	123
2.1125	64
2.1375	85
2.1625	86
2.1875	83
2.2125	80
2.2375	50
2.2625	45
2.2875	50
2.3125	59
2.3375	53
2.3625	36
2.3875	17
2.4125	8
2.4375	19
2.4625	37
2.4875	19
2.5125	22
2.5375	60
2.5625	32
2.5875	23
2.6125	38
2.6375	23
2.6625	4
2.6875	11
2.7125	16
2.7375	25
2.7625	7
2.7875	2
2.8125	5
2.8375	8
2.8625	0
2.8875	3
2.9125	0
2.9375	8
2.9625	3
2.9875	0
3.0125	1
3.0375	0
3.0625	1
3.0875	0
3.1125	2
3.1375	3
3.1625	0
3.1875	3
3.2125	1
3.2375	0
3.2625	3
3.2875	0
3.3125	0
3.3375	0
3.3625	0
3.3875	0
3.4125	0
3.4375	0
3.4625	0
3.4875	0
3.5125	0
3.5375	0
3.5625	0
3.5875	0
3.6125	0
3.6375	0
3.6625	0
3.6875	0
3.7125	0
3.7375	1
3.7625	0
3.7875	0
3.8125	0
3.8375	0
3.8625	0
3.8875	0
3.9125	0
3.9375	0
3.9625	0
3.9875	1
4.0125	0
4.0375	0
4.0625	1
4.0875	0
4.1125	7
4.1375	8
4.1625	4
4.1875	1
4.2125	0
4.2375	1
4.2625	1
4.2875	0
4.3125	0
4.3375	1
4.3625	0
4.3875	0
4.4125	0
4.4375	0
4.4625	3
4.4875	0
4.5125	0
4.5375	1
4.5625	0
4.5875	0
4.6125	0
4.6375	0
4.6625	0
4.6875	0
4.7125	0
4.7375	0
4.7625	0
4.7875	0
4.8125	3
4.8375	0
4.8625	0
4.8875	0
4.9125	0
4.9375	0
4.9625	0
4.9875	0
