# r/deg		gt	Delta gt	kbin
0.0446138	0.0536345	0.0232491	0.838807	181
0.0557778	0.041772	0.0210875	0.853672	208
0.0670428	0.031608	0.0185443	0.839905	282
0.0783477	-0.000942714	0.017742	0.839978	306
0.0897896	0.00249075	0.016235	0.838878	370
0.101043	-0.0033166	0.0169451	0.837531	340
0.112037	0.0085928	0.0173241	0.832063	331
0.12385	0.0160305	0.0161224	0.830123	390
