# r/deg		gt	Delta gt	kbin
0.041956	0.0819707	0.028786	0.810983	133
0.05296	0.0746492	0.0273851	0.796469	152
0.06325	0.0235316	0.0243502	0.806629	186
0.0744568	0.0530676	0.0241237	0.790431	203
0.0853045	0.0373381	0.0231842	0.803779	208
0.0956703	0.0196275	0.0221348	0.795531	237
0.106501	0.0423286	0.0202543	0.793608	283
0.117297	0.0364032	0.020163	0.801304	280
