# r/deg		gt	Delta gt	kbin
0.0562538	0.0445226	0.0291981	0.813981	135
0.0706167	0.0651937	0.0246101	0.811765	184
0.0841131	0.0643843	0.0226508	0.814196	218
0.0982721	0.0600642	0.0220855	0.809685	232
0.112731	0.0496816	0.0208335	0.806414	267
0.126739	0.00887172	0.0182048	0.81834	335
0.140963	0.00976103	0.0164406	0.812555	411
0.154988	0.011717	0.0163277	0.809338	428
