# z	N(z)
0.0125	40
0.0375	20
0.0625	22
0.0875	8
0.1125	15
0.1375	14
0.1625	7
0.1875	16
0.2125	14
0.2375	43
0.2625	12
0.2875	3
0.3125	16
0.3375	40
0.3625	84
0.3875	88
0.4125	181
0.4375	186
0.4625	241
0.4875	340
0.5125	406
0.5375	413
0.5625	355
0.5875	576
0.6125	1031
0.6375	766
0.6625	1835
0.6875	1637
0.7125	1425
0.7375	1879
0.7625	1268
0.7875	1414
0.8125	1928
0.8375	2228
0.8625	1976
0.8875	1075
0.9125	1454
0.9375	2236
0.9625	1714
0.9875	1484
1.0125	1173
1.0375	502
1.0625	574
1.0875	773
1.1125	887
1.1375	700
1.1625	391
1.1875	650
1.2125	308
1.2375	266
1.2625	199
1.2875	119
1.3125	184
1.3375	169
1.3625	150
1.3875	200
1.4125	194
1.4375	258
1.4625	285
1.4875	225
1.5125	145
1.5375	93
1.5625	96
1.5875	150
1.6125	110
1.6375	119
1.6625	36
1.6875	51
1.7125	38
1.7375	83
1.7625	95
1.7875	118
1.8125	78
1.8375	66
1.8625	50
1.8875	50
1.9125	64
1.9375	45
1.9625	81
1.9875	58
2.0125	51
2.0375	38
2.0625	33
2.0875	14
2.1125	16
2.1375	19
2.1625	15
2.1875	26
2.2125	5
2.2375	12
2.2625	9
2.2875	15
2.3125	15
2.3375	12
2.3625	9
2.3875	5
2.4125	3
2.4375	3
2.4625	20
2.4875	5
2.5125	7
2.5375	8
2.5625	2
2.5875	0
2.6125	9
2.6375	1
2.6625	2
2.6875	1
2.7125	3
2.7375	0
2.7625	3
2.7875	1
2.8125	2
2.8375	0
2.8625	0
2.8875	0
2.9125	5
2.9375	2
2.9625	0
2.9875	0
3.0125	0
3.0375	0
3.0625	0
3.0875	0
3.1125	3
3.1375	2
3.1625	0
3.1875	1
3.2125	1
3.2375	0
3.2625	0
3.2875	0
3.3125	0
3.3375	0
3.3625	0
3.3875	0
3.4125	0
3.4375	0
3.4625	1
3.4875	0
3.5125	0
3.5375	0
3.5625	0
3.5875	0
3.6125	0
3.6375	0
3.6625	0
3.6875	0
3.7125	0
3.7375	0
3.7625	0
3.7875	1
3.8125	2
3.8375	1
3.8625	0
3.8875	0
3.9125	0
3.9375	0
3.9625	0
3.9875	1
4.0125	0
4.0375	1
4.0625	0
4.0875	0
4.1125	5
4.1375	2
4.1625	3
4.1875	4
4.2125	0
4.2375	3
4.2625	1
4.2875	0
4.3125	0
4.3375	0
4.3625	0
4.3875	0
4.4125	0
4.4375	0
4.4625	0
4.4875	0
4.5125	0
4.5375	0
4.5625	0
4.5875	0
4.6125	0
4.6375	0
4.6625	0
4.6875	0
4.7125	0
4.7375	0
4.7625	0
4.7875	0
4.8125	2
4.8375	0
4.8625	0
4.8875	0
4.9125	0
4.9375	0
4.9625	0
4.9875	0
