# r/deg		gt	Delta gt	kbin
0.0349318	0.0873937	0.0326404	0.867469	89
0.0440192	0.0238455	0.0318113	0.871036	88
0.0527151	0.101452	0.0313887	0.850802	97
0.062003	0.0291393	0.0297551	0.856826	107
0.0704707	0.0172796	0.0277459	0.866025	117
0.0789546	0.0123009	0.0241077	0.870658	155
0.0882889	0.0478313	0.0254063	0.851345	147
0.0972583	0.0416302	0.0254412	0.849887	146
