# z	N(z)
0.0125	167
0.0375	204
0.0625	350
0.0875	229
0.1125	330
0.1375	313
0.1625	128
0.1875	174
0.2125	286
0.2375	74
0.2625	39
0.2875	27
0.3125	61
0.3375	20
0.3625	22
0.3875	9
0.4125	6
0.4375	5
0.4625	3
0.4875	0
0.5125	0
0.5375	8
0.5625	41
0.5875	13
0.6125	34
0.6375	76
0.6625	71
0.6875	209
0.7125	248
0.7375	371
0.7625	562
0.7875	1076
0.8125	2484
0.8375	2976
0.8625	3487
0.8875	2165
0.9125	2927
0.9375	4148
0.9625	3470
0.9875	2641
1.0125	1562
1.0375	655
1.0625	695
1.0875	1014
1.1125	894
1.1375	1145
1.1625	523
1.1875	1222
1.2125	678
1.2375	958
1.2625	788
1.2875	873
1.3125	535
1.3375	588
1.3625	641
1.3875	749
1.4125	889
1.4375	1041
1.4625	1112
1.4875	995
1.5125	624
1.5375	436
1.5625	551
1.5875	562
1.6125	592
1.6375	406
1.6625	296
1.6875	263
1.7125	361
1.7375	490
1.7625	678
1.7875	751
1.8125	648
1.8375	456
1.8625	392
1.8875	326
1.9125	437
1.9375	429
1.9625	736
1.9875	773
2.0125	595
2.0375	374
2.0625	419
2.0875	251
2.1125	160
2.1375	290
2.1625	154
2.1875	182
2.2125	164
2.2375	213
2.2625	111
2.2875	241
2.3125	199
2.3375	203
2.3625	155
2.3875	94
2.4125	75
2.4375	69
2.4625	93
2.4875	59
2.5125	91
2.5375	226
2.5625	93
2.5875	77
2.6125	113
2.6375	130
2.6625	71
2.6875	46
2.7125	53
2.7375	82
2.7625	32
2.7875	58
2.8125	52
2.8375	47
2.8625	14
2.8875	14
2.9125	19
2.9375	22
2.9625	14
2.9875	6
3.0125	4
3.0375	0
3.0625	4
3.0875	2
3.1125	7
3.1375	0
3.1625	0
3.1875	0
3.2125	1
3.2375	0
3.2625	3
3.2875	0
3.3125	0
3.3375	0
3.3625	0
3.3875	0
3.4125	0
3.4375	0
3.4625	0
3.4875	0
3.5125	0
3.5375	0
3.5625	0
3.5875	0
3.6125	0
3.6375	0
3.6625	0
3.6875	0
3.7125	0
3.7375	0
3.7625	0
3.7875	0
3.8125	0
3.8375	0
3.8625	0
3.8875	0
3.9125	0
3.9375	0
3.9625	0
3.9875	0
4.0125	0
4.0375	0
4.0625	0
4.0875	0
4.1125	0
4.1375	0
4.1625	0
4.1875	0
4.2125	0
4.2375	0
4.2625	0
4.2875	0
4.3125	0
4.3375	0
4.3625	0
4.3875	0
4.4125	0
4.4375	0
4.4625	4
4.4875	0
4.5125	0
4.5375	2
4.5625	0
4.5875	0
4.6125	0
4.6375	0
4.6625	0
4.6875	0
4.7125	0
4.7375	0
4.7625	0
4.7875	0
4.8125	0
4.8375	0
4.8625	0
4.8875	0
4.9125	0
4.9375	0
4.9625	0
4.9875	2
