# z	N(z)
0.0125	68
0.0375	78
0.0625	103
0.0875	77
0.1125	90
0.1375	78
0.1625	27
0.1875	51
0.2125	48
0.2375	32
0.2625	28
0.2875	5
0.3125	8
0.3375	7
0.3625	7
0.3875	11
0.4125	8
0.4375	19
0.4625	114
0.4875	125
0.5125	192
0.5375	215
0.5625	196
0.5875	374
0.6125	868
0.6375	940
0.6625	2739
0.6875	2524
0.7125	2211
0.7375	2770
0.7625	2089
0.7875	2125
0.8125	2929
0.8375	3416
0.8625	2815
0.8875	1467
0.9125	2116
0.9375	3113
0.9625	2463
0.9875	2257
1.0125	1739
1.0375	741
1.0625	944
1.0875	1303
1.1125	1619
1.1375	1595
1.1625	971
1.1875	1602
1.2125	967
1.2375	1056
1.2625	776
1.2875	606
1.3125	449
1.3375	491
1.3625	585
1.3875	590
1.4125	686
1.4375	738
1.4625	844
1.4875	738
1.5125	421
1.5375	338
1.5625	302
1.5875	387
1.6125	365
1.6375	269
1.6625	182
1.6875	153
1.7125	215
1.7375	293
1.7625	369
1.7875	400
1.8125	308
1.8375	241
1.8625	235
1.8875	143
1.9125	201
1.9375	207
1.9625	265
1.9875	320
2.0125	241
2.0375	171
2.0625	162
2.0875	106
2.1125	53
2.1375	74
2.1625	50
2.1875	55
2.2125	33
2.2375	44
2.2625	35
2.2875	41
2.3125	41
2.3375	45
2.3625	31
2.3875	16
2.4125	18
2.4375	12
2.4625	23
2.4875	13
2.5125	18
2.5375	42
2.5625	24
2.5875	24
2.6125	29
2.6375	15
2.6625	2
2.6875	3
2.7125	14
2.7375	13
2.7625	9
2.7875	2
2.8125	4
2.8375	9
2.8625	0
2.8875	2
2.9125	0
2.9375	2
2.9625	5
2.9875	0
3.0125	0
3.0375	0
3.0625	0
3.0875	0
3.1125	1
3.1375	1
3.1625	0
3.1875	0
3.2125	0
3.2375	0
3.2625	4
3.2875	0
3.3125	0
3.3375	0
3.3625	0
3.3875	0
3.4125	0
3.4375	0
3.4625	0
3.4875	0
3.5125	0
3.5375	0
3.5625	0
3.5875	0
3.6125	0
3.6375	0
3.6625	0
3.6875	0
3.7125	0
3.7375	0
3.7625	0
3.7875	0
3.8125	0
3.8375	0
3.8625	0
3.8875	0
3.9125	0
3.9375	0
3.9625	0
3.9875	1
4.0125	0
4.0375	0
4.0625	3
4.0875	0
4.1125	7
4.1375	2
4.1625	2
4.1875	0
4.2125	0
4.2375	1
4.2625	1
4.2875	0
4.3125	0
4.3375	0
4.3625	0
4.3875	0
4.4125	0
4.4375	0
4.4625	3
4.4875	0
4.5125	0
4.5375	0
4.5625	0
4.5875	0
4.6125	0
4.6375	0
4.6625	0
4.6875	0
4.7125	0
4.7375	0
4.7625	0
4.7875	0
4.8125	4
4.8375	0
4.8625	0
4.8875	0
4.9125	0
4.9375	0
4.9625	0
4.9875	0
