# r/deg		gt	Delta gt	kbin
0.043435	0.0967799	0.0303713	0.858594	105
0.0548698	0.0309376	0.0243289	0.844074	164
0.06552	0.0141264	0.0232863	0.842249	184
0.0769934	0.0177958	0.020469	0.843753	240
0.0877371	0.011296	0.0194649	0.849785	250
0.0993232	0.0350238	0.0183352	0.842779	294
0.109769	0.0288091	0.0177198	0.843025	314
0.121117	0.0185281	0.0166606	0.832633	366
