# z	N(z)
0.0125	137
0.0375	208
0.0625	332
0.0875	248
0.1125	344
0.1375	321
0.1625	141
0.1875	140
0.2125	277
0.2375	86
0.2625	48
0.2875	58
0.3125	48
0.3375	14
0.3625	62
0.3875	14
0.4125	6
0.4375	6
0.4625	9
0.4875	9
0.5125	6
0.5375	28
0.5625	47
0.5875	114
0.6125	186
0.6375	276
0.6625	678
0.6875	1029
0.7125	1341
0.7375	2099
0.7625	1897
0.7875	2160
0.8125	3070
0.8375	3415
0.8625	2944
0.8875	1720
0.9125	2290
0.9375	3410
0.9625	2722
0.9875	2449
1.0125	1896
1.0375	777
1.0625	966
1.0875	1306
1.1125	1338
1.1375	1537
1.1625	862
1.1875	1441
1.2125	782
1.2375	980
1.2625	719
1.2875	638
1.3125	458
1.3375	473
1.3625	517
1.3875	625
1.4125	667
1.4375	884
1.4625	867
1.4875	869
1.5125	549
1.5375	335
1.5625	341
1.5875	448
1.6125	427
1.6375	363
1.6625	210
1.6875	198
1.7125	233
1.7375	355
1.7625	441
1.7875	467
1.8125	448
1.8375	300
1.8625	261
1.8875	203
1.9125	240
1.9375	313
1.9625	411
1.9875	410
2.0125	363
2.0375	216
2.0625	217
2.0875	141
2.1125	83
2.1375	143
2.1625	123
2.1875	99
2.2125	80
2.2375	108
2.2625	89
2.2875	145
2.3125	119
2.3375	129
2.3625	94
2.3875	43
2.4125	41
2.4375	61
2.4625	42
2.4875	25
2.5125	66
2.5375	138
2.5625	75
2.5875	70
2.6125	85
2.6375	74
2.6625	47
2.6875	43
2.7125	30
2.7375	32
2.7625	27
2.7875	36
2.8125	26
2.8375	38
2.8625	9
2.8875	9
2.9125	16
2.9375	25
2.9625	12
2.9875	5
3.0125	4
3.0375	0
3.0625	3
3.0875	6
3.1125	7
3.1375	2
3.1625	1
3.1875	0
3.2125	1
3.2375	0
3.2625	2
3.2875	1
3.3125	0
3.3375	0
3.3625	0
3.3875	0
3.4125	0
3.4375	0
3.4625	0
3.4875	0
3.5125	0
3.5375	0
3.5625	0
3.5875	0
3.6125	0
3.6375	0
3.6625	0
3.6875	0
3.7125	0
3.7375	0
3.7625	0
3.7875	0
3.8125	0
3.8375	0
3.8625	0
3.8875	0
3.9125	0
3.9375	0
3.9625	0
3.9875	0
4.0125	0
4.0375	0
4.0625	0
4.0875	0
4.1125	0
4.1375	0
4.1625	0
4.1875	0
4.2125	0
4.2375	0
4.2625	0
4.2875	0
4.3125	0
4.3375	0
4.3625	0
4.3875	0
4.4125	0
4.4375	0
4.4625	0
4.4875	0
4.5125	0
4.5375	0
4.5625	0
4.5875	0
4.6125	0
4.6375	0
4.6625	0
4.6875	0
4.7125	0
4.7375	0
4.7625	0
4.7875	0
4.8125	5
4.8375	0
4.8625	0
4.8875	0
4.9125	0
4.9375	0
4.9625	0
4.9875	0
