# r/deg		gt	Delta gt	kbin
0.0412563	0.0215789	0.0312519	0.839846	100
0.0512169	0.00233829	0.0286764	0.825	125
0.061579	0.0234432	0.0259503	0.81675	162
0.0719164	0.0248648	0.0229049	0.81483	205
0.0827998	0.0350768	0.023539	0.816396	192
0.0928551	0.0588009	0.0198993	0.821315	267
0.103733	0.00778894	0.0215081	0.806219	240
0.113705	-0.0148818	0.0182961	0.820398	313
