# r/deg		gt	Delta gt	kbin
0.0430849	0.0926206	0.0346024	0.828694	87
0.0541395	0.0968578	0.0322433	0.805565	108
0.0651203	0.0739127	0.031984	0.811397	110
0.076063	0.0124265	0.030321	0.806658	123
0.0866537	0.0211981	0.0285797	0.795894	144
0.097454	0.0219998	0.0266453	0.806968	161
0.108573	0.0175804	0.0249338	0.811485	182
0.119797	-0.0126195	0.0232346	0.815285	203
