# z	N(z)
0.0125	66
0.0375	45
0.0625	72
0.0875	51
0.1125	45
0.1375	51
0.1625	23
0.1875	25
0.2125	44
0.2375	27
0.2625	17
0.2875	3
0.3125	8
0.3375	3
0.3625	7
0.3875	4
0.4125	10
0.4375	14
0.4625	69
0.4875	79
0.5125	138
0.5375	130
0.5625	118
0.5875	245
0.6125	493
0.6375	568
0.6625	1665
0.6875	1604
0.7125	1298
0.7375	1698
0.7625	1333
0.7875	1280
0.8125	1763
0.8375	2127
0.8625	1793
0.8875	981
0.9125	1301
0.9375	1947
0.9625	1549
0.9875	1330
1.0125	1102
1.0375	468
1.0625	625
1.0875	812
1.1125	1027
1.1375	1013
1.1625	610
1.1875	1042
1.2125	604
1.2375	733
1.2625	484
1.2875	347
1.3125	264
1.3375	339
1.3625	336
1.3875	395
1.4125	369
1.4375	523
1.4625	505
1.4875	447
1.5125	288
1.5375	199
1.5625	184
1.5875	229
1.6125	239
1.6375	168
1.6625	96
1.6875	102
1.7125	127
1.7375	182
1.7625	225
1.7875	248
1.8125	163
1.8375	163
1.8625	128
1.8875	105
1.9125	118
1.9375	126
1.9625	194
1.9875	215
2.0125	154
2.0375	111
2.0625	92
2.0875	64
2.1125	29
2.1375	53
2.1625	53
2.1875	34
2.2125	30
2.2375	30
2.2625	16
2.2875	30
2.3125	31
2.3375	35
2.3625	29
2.3875	15
2.4125	3
2.4375	5
2.4625	16
2.4875	10
2.5125	7
2.5375	23
2.5625	17
2.5875	9
2.6125	25
2.6375	10
2.6625	3
2.6875	4
2.7125	13
2.7375	7
2.7625	4
2.7875	3
2.8125	3
2.8375	5
2.8625	0
2.8875	1
2.9125	0
2.9375	2
2.9625	2
2.9875	0
3.0125	0
3.0375	0
3.0625	0
3.0875	0
3.1125	0
3.1375	2
3.1625	0
3.1875	0
3.2125	0
3.2375	0
3.2625	0
3.2875	0
3.3125	0
3.3375	0
3.3625	0
3.3875	0
3.4125	0
3.4375	0
3.4625	0
3.4875	0
3.5125	0
3.5375	0
3.5625	0
3.5875	0
3.6125	0
3.6375	0
3.6625	0
3.6875	0
3.7125	0
3.7375	0
3.7625	0
3.7875	0
3.8125	0
3.8375	0
3.8625	0
3.8875	0
3.9125	0
3.9375	0
3.9625	0
3.9875	0
4.0125	0
4.0375	0
4.0625	1
4.0875	0
4.1125	0
4.1375	2
4.1625	2
4.1875	1
4.2125	0
4.2375	0
4.2625	2
4.2875	0
4.3125	0
4.3375	0
4.3625	0
4.3875	0
4.4125	0
4.4375	0
4.4625	2
4.4875	0
4.5125	0
4.5375	0
4.5625	0
4.5875	0
4.6125	0
4.6375	0
4.6625	0
4.6875	0
4.7125	0
4.7375	0
4.7625	0
4.7875	0
4.8125	2
4.8375	0
4.8625	0
4.8875	0
4.9125	0
4.9375	0
4.9625	0
4.9875	0
