# z	N(z)
0.0125	25
0.0375	17
0.0625	7
0.0875	21
0.1125	4
0.1375	7
0.1625	1
0.1875	4
0.2125	4
0.2375	27
0.2625	4
0.2875	2
0.3125	8
0.3375	18
0.3625	73
0.3875	89
0.4125	151
0.4375	154
0.4625	155
0.4875	180
0.5125	301
0.5375	249
0.5625	206
0.5875	332
0.6125	552
0.6375	366
0.6625	1057
0.6875	833
0.7125	740
0.7375	964
0.7625	608
0.7875	672
0.8125	928
0.8375	1093
0.8625	888
0.8875	473
0.9125	742
0.9375	1124
0.9625	736
0.9875	706
1.0125	489
1.0375	218
1.0625	260
1.0875	306
1.1125	361
1.1375	238
1.1625	155
1.1875	222
1.2125	124
1.2375	126
1.2625	54
1.2875	45
1.3125	46
1.3375	46
1.3625	65
1.3875	59
1.4125	77
1.4375	102
1.4625	95
1.4875	77
1.5125	33
1.5375	35
1.5625	31
1.5875	61
1.6125	25
1.6375	25
1.6625	14
1.6875	16
1.7125	16
1.7375	30
1.7625	37
1.7875	31
1.8125	43
1.8375	22
1.8625	14
1.8875	17
1.9125	23
1.9375	8
1.9625	30
1.9875	14
2.0125	19
2.0375	16
2.0625	6
2.0875	13
2.1125	5
2.1375	7
2.1625	7
2.1875	6
2.2125	1
2.2375	3
2.2625	1
2.2875	3
2.3125	2
2.3375	2
2.3625	3
2.3875	2
2.4125	1
2.4375	1
2.4625	15
2.4875	0
2.5125	1
2.5375	4
2.5625	2
2.5875	0
2.6125	2
2.6375	0
2.6625	0
2.6875	1
2.7125	2
2.7375	1
2.7625	3
2.7875	0
2.8125	1
2.8375	1
2.8625	0
2.8875	0
2.9125	1
2.9375	1
2.9625	1
2.9875	0
3.0125	0
3.0375	0
3.0625	0
3.0875	0
3.1125	1
3.1375	0
3.1625	0
3.1875	0
3.2125	1
3.2375	0
3.2625	0
3.2875	0
3.3125	0
3.3375	0
3.3625	0
3.3875	0
3.4125	0
3.4375	0
3.4625	0
3.4875	0
3.5125	0
3.5375	0
3.5625	0
3.5875	0
3.6125	0
3.6375	0
3.6625	0
3.6875	0
3.7125	0
3.7375	0
3.7625	0
3.7875	0
3.8125	0
3.8375	0
3.8625	0
3.8875	2
3.9125	0
3.9375	0
3.9625	0
3.9875	0
4.0125	0
4.0375	0
4.0625	0
4.0875	0
4.1125	1
4.1375	0
4.1625	0
4.1875	1
4.2125	0
4.2375	0
4.2625	0
4.2875	0
4.3125	0
4.3375	0
4.3625	0
4.3875	0
4.4125	0
4.4375	0
4.4625	1
4.4875	0
4.5125	0
4.5375	0
4.5625	0
4.5875	0
4.6125	0
4.6375	0
4.6625	0
4.6875	0
4.7125	0
4.7375	0
4.7625	0
4.7875	0
4.8125	0
4.8375	0
4.8625	0
4.8875	0
4.9125	0
4.9375	0
4.9625	0
4.9875	0
