# r/deg		gt	Delta gt	kbin
0.051959	0.0386614	0.0485949	0.747073	57
0.0644478	0.0093955	0.0371856	0.770656	93
0.0779711	0.0437304	0.0342858	0.761416	114
0.09071	0.0366562	0.0334782	0.772942	121
0.103418	0.0205057	0.0317239	0.776938	123
0.117283	-0.0122703	0.0330336	0.75669	130
0.13024	-0.00159028	0.0314529	0.764901	138
0.14365	0.041814	0.0302349	0.763591	150
